"RelativePath","Length","LastWriteTime","Sha256"
"concept_design_gifs\BUMP GAME.gif","24774","2026-06-17 11:08:20","A547041175594A4F7167FA27EB6BBD447EA2227B2E0504057799197E30F8AD52"
"concept_design_gifs\character.png","10683","2026-06-17 11:07:46","E0BBA4EA2E28B1A0CD17EE98B0D21FA70A505B72B1A17B9E7E93508162B9067B"
"concept_design_gifs\Clean up the poop.gif","37381","2026-06-17 11:07:23","1B66A998A4F93C39CB0649212A6134C105179C0DE233294D152FCB5AE4DD4588"
"concept_design_gifs\Cure when ill.gif","10682","2026-06-17 11:06:56","E5B76C584F144F9BE8360C193BAB1F31C0E445AAC7C3ECD015D782C8C1C7ED63"
"concept_design_gifs\Discipline when needed.gif","5660","2026-06-17 11:07:07","F1DA97C0633CA75CEB1391D6916F4C8BF892B5B4C04D83EB4F82BED1C133C9A5"
"concept_design_gifs\family.gif","34125","2026-06-17 11:07:57","7740D7AE740EE23756DAAF25EC207B48609D55DA7C884BA6B16CFBED4C914D4C"
"concept_design_gifs\FLAG GAME.gif","14722","2026-06-17 11:08:29","34D1C25588F8DAB2097B571486C77D9DB59E067F30F9C77DD040DD5030498B17"
"concept_design_gifs\food and snacks.gif","8084","2026-06-17 11:06:26","EE55058632867A9A49207120CE912725B2FA422676D9EEC852470486EA475BD8"
"concept_design_gifs\Get music.gif","8699","2026-06-17 11:08:10","F1ACDB5768B668EDE026343D19B9C05C0D2AC8C9FC1DCBAD4D952D04A987FB35"
"concept_design_gifs\HEADING GAME.gif","29335","2026-06-17 11:08:38","16A2F9177BDC7A51F62229F7282155524287F8E0F4463B91A5947DE63DFD4364"
"concept_design_gifs\HOOPS GAME.gif","13604","2026-06-17 11:09:03","5277F62F1B9BA14568F02A05C229E7211E69510877B7A80088FF6CE2F2D9BA0E"
"concept_design_gifs\Lights off at night!.gif","7874","2026-06-17 11:06:42","5ED2D37DC19253F978807DF81A82E33B3FA1CD89F78E6713F46BC94E94AA980F"
"concept_design_gifs\MEMORY GAME.gif","5745","2026-06-17 11:08:47","54820B29D29FB3322CB2ECE4F7623EF2FD3A786CAC97D8CEB7690AA1DDB65C29"
"concept_design_gifs\shop.gif","3688","2026-06-17 11:09:37","93C10E4A299B8F2C501A78C5FFEC28D2BC40ECFA4BF7C88C9C8452377084F862"
"concept_design_gifs\SPRINT GAME.gif","38926","2026-06-17 11:08:56","CE24245B795D297E2314108EAD4F71C8DDD710DCCAFDB5E19F2EA8C306060162"
