index,label,kind,price,behavior,icon,icon_name,flags,flag_names,source_group,use_scene,use_scene_name,visual_traits,runtime_bitmap_symbol,runtime_dimensions_px,entry_source,art_status,official_status,official_source,official_coverage
0,APPLE PIE,food,150,6,6,icon_6,1,snack,10,2,snack,0,kCatalogEntryBitmaps[0],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
1,BANANA,food,130,7,7,icon_7,1,snack,10,2,snack,1,kCatalogEntryBitmaps[1],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
2,BBQ,food,180,1,1,icon_1,0,,10,1,meal,2,kCatalogEntryBitmaps[2],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
3,BEEF BOWL,food,180,1,1,icon_1,0,,10,1,meal,3,kCatalogEntryBitmaps[3],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
4,CHEESE,food,100,3,3,icon_3,0,,10,1,meal,4,kCatalogEntryBitmaps[4],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
5,CHEESE CAKE,food,150,6,6,icon_6,1,snack,10,2,snack,5,kCatalogEntryBitmaps[5],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
6,CHERRY,food,90,7,7,icon_7,1,snack,10,2,snack,6,kCatalogEntryBitmaps[6],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
7,CHOCOLATE,food,150,5,5,icon_5,1,snack,10,2,snack,7,kCatalogEntryBitmaps[7],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
8,COOKIE,food,150,6,6,icon_6,1,snack,10,2,snack,8,kCatalogEntryBitmaps[8],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
9,CORN,food,80,3,3,icon_3,0,,10,1,meal,9,kCatalogEntryBitmaps[9],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
10,CORN DOG,food,100,4,4,icon_4,1,snack,10,2,snack,10,kCatalogEntryBitmaps[10],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
11,CUPCAKE,food,120,6,6,icon_6,1,snack,10,2,snack,11,kCatalogEntryBitmaps[11],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
12,CURRY,food,100,1,1,icon_1,0,,10,1,meal,12,kCatalogEntryBitmaps[12],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
13,DONUT,food,110,6,6,icon_6,1,snack,10,2,snack,13,kCatalogEntryBitmaps[13],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
14,FRIES,food,80,4,4,icon_4,1,snack,10,2,snack,14,kCatalogEntryBitmaps[14],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
15,HAMBURGER,food,180,1,1,icon_1,0,,10,1,meal,15,kCatalogEntryBitmaps[15],16;16,override,official section scene only,official section scene only,food/snack behavior reference,source-backed substitute with official section scene reference
