file,size,frames,unique,total_ms,dur_ms_min_max,content_union,diff_union,median_diff_pct,max_diff_pct
BUMP GAME.gif,213x200,43,15,14780,80-500,"[0, 7, 213, 200]","[0, 7, 213, 200]",48.48,96.5
Clean up the poop.gif,213x200,44,36,2640,60-60,"[0, 0, 213, 200]","[0, 0, 213, 200]",46.95,100.0
Cure when ill.gif,213x200,16,6,8000,500-500,"[53, 13, 206, 200]","[53, 13, 206, 200]",47.77,67.16
Discipline when needed.gif,213x200,11,5,6000,500-1000,"[0, 13, 213, 200]","[0, 13, 213, 200]",27.0,93.5
family.gif,1000x580,2,2,1000,500-500,"[14, 9, 991, 571]","[14, 9, 991, 570]",94.5,94.5
FLAG GAME.gif,213x200,13,6,13000,1000-1000,"[0, 13, 213, 200]","[0, 13, 213, 200]",75.94,90.43
food and snacks.gif,213x200,7,7,3500,500-500,"[14, 34, 207, 200]","[14, 34, 207, 200]",29.65,75.21
Get music.gif,213x200,11,11,13500,500-1500,"[7, 0, 213, 200]","[7, 0, 213, 187]",52.24,57.54
HEADING GAME.gif,213x200,65,30,10200,100-2000,"[7, 0, 153, 200]","[7, 0, 153, 200]",34.93,66.15
HOOPS GAME.gif,213x200,29,29,3700,100-500,"[0, 0, 213, 200]","[0, 0, 213, 200]",8.31,100.0
Lights off at night!.gif,213x200,16,6,9000,500-1000,"[0, 0, 213, 200]","[0, 0, 213, 200]",38.43,100.0
MEMORY GAME.gif,213x200,14,6,16000,500-2000,"[7, 13, 180, 200]","[7, 13, 180, 200]",2.15,75.94
shop.gif,213x200,2,2,3000,1000-2000,"[0, 0, 213, 200]","[40, 87, 173, 153]",20.61,20.61
SPRINT GAME.gif,213x200,33,23,14100,300-1000,"[0, 0, 213, 200]","[0, 0, 213, 200]",62.44,91.08
