ordinal,group,file,format,size,frames,unique,duration_ms,changed_frames,contract_hint,url
1,chrome,logo_tamagotchi.png,PNG,188x40,1,1,0,0,,https://tamagotchi-official.com/images/common/logo_tamagotchi.png
2,chrome,logo.png,PNG,600x212,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/main/common/logo.png
3,section_title,tit_play.png,PNG,846x140,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/main/howto/tit_play.png
4,chrome,img_play_pc.png,PNG,1100x188,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/play/img_play_pc.png
5,chrome,img_num_01.png,PNG,110x110,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/img_num_01.png
6,nurture,img_breed_01.gif,GIF,213x200,1,1,0,0,status/check menu visual,https://tamagotchi-official.com/gb/series/connection/images/main/howto/breed/img_breed_01.gif
7,nurture,img_icon.png,PNG,99x128,1,1,0,0,nurture.menu.icon,https://tamagotchi-official.com/gb/series/connection/images/howto/breed/img_icon.png
8,nurture,img_breed_02.gif,GIF,213x200,7,7,3500,0,food.select/bite/crumbs,https://tamagotchi-official.com/gb/series/connection/images/howto/breed/img_breed_02.gif
9,nurture,img_chara.png,PNG,226x156,1,1,0,0,nurture.menu.icon,https://tamagotchi-official.com/gb/series/connection/images/howto/breed/img_chara.png
10,nurture,img_breed_03.gif,GIF,213x200,44,36,2640,0,toilet.mess/sweep/done,https://tamagotchi-official.com/gb/series/connection/images/howto/breed/img_breed_03.gif
11,nurture,img_breed_04.gif,GIF,213x200,11,5,6000,0,discipline.prompt/react,https://tamagotchi-official.com/gb/series/connection/images/main/howto/breed/img_breed_04.gif
12,nurture,img_breed_05.gif,GIF,213x200,16,6,8000,0,medicine.sick/dose/recover,https://tamagotchi-official.com/gb/series/connection/images/howto/breed/img_breed_05.gif
13,nurture,img_breed_06.gif,GIF,213x200,16,6,9000,0,lights.selector/sleep/dark,https://tamagotchi-official.com/gb/series/connection/images/main/howto/breed/img_breed_06.gif
14,chrome,img_num_02.png,PNG,110x110,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/img_num_02.png
15,growth,img_chart.png,PNG,1000x190,1,1,0,0,character.route.chart,https://tamagotchi-official.com/gb/series/connection/images/main/howto/growth/img_chart.png
16,growth,img_growth_01.gif,GIF,1000x580,2,2,1000,0,egg/baby/child/teen/adult/passaway,https://tamagotchi-official.com/gb/series/connection/images/howto/growth/img_growth_01.gif
17,growth,img_growth_02.gif,GIF,213x200,1,1,0,0,egg/baby/child/teen/adult/passaway,https://tamagotchi-official.com/gb/series/connection/images/howto/growth/img_growth_02.gif
18,chrome,img_num_03.png,PNG,110x110,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/img_num_03.png
19,game,img_chara_01.png,PNG,207x169,1,1,0,0,game.menu/reward,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_chara_01.png
20,game,img_chara_02.png,PNG,220x145,1,1,0,0,game.menu/reward,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_chara_02.png
21,game,img_game_01.gif,GIF,213x200,11,11,13500,0,game.get.*,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_game_01.gif
22,game,img_game_02.gif,GIF,213x200,43,15,14780,0,game.bump.*,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_game_02.gif
23,game,img_game_03.gif,GIF,213x200,13,6,13000,0,game.flag.*,https://tamagotchi-official.com/gb/series/connection/images/main/howto/game/img_game_03.gif
24,game,img_game_04.gif,GIF,213x200,65,30,10200,0,game.heading.*,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_game_04.gif
25,game,img_game_05.gif,GIF,213x200,14,6,16000,0,game.memory.*,https://tamagotchi-official.com/gb/series/connection/images/main/howto/game/img_game_05.gif
26,game,img_game_06.gif,GIF,213x200,33,23,14100,0,game.sprint.*,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_game_06.gif
27,game,img_game_07.gif,GIF,213x200,29,29,3700,0,game.hoops.*,https://tamagotchi-official.com/gb/series/connection/images/howto/game/img_game_07.gif
28,chrome,img_num_04.png,PNG,110x110,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/img_num_04.png
29,item_shop,img_chara_01.png,PNG,232x165,1,1,0,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_chara_01.png
30,item_shop,img_item_01.gif,GIF,213x200,5,5,6000,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_item_01.gif
31,item_shop,img_chara_02.png,PNG,128x148,1,1,0,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_chara_02.png
32,item_shop,img_item_02.gif,GIF,213x200,14,8,7000,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_item_02.gif
33,item_shop,img_icon_01.png,PNG,110x127,1,1,0,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_icon_01.png
34,item_shop,img_item_03_pc.gif,GIF,1000x240,48,24,24000,0,shop.booth/keeper/item,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_item_03_pc.gif
35,item_shop,img_icon_02_pc.png,PNG,1000x130,1,1,0,0,item.use/collection,https://tamagotchi-official.com/gb/series/connection/images/howto/item/img_icon_02_pc.png
36,chrome,img_num_05.png,PNG,110x110,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/howto/img_num_05.png
37,password_secret,img_special_01.gif,GIF,213x200,58,47,20200,0,password.reward.entry,https://tamagotchi-official.com/gb/series/connection/images/main/howto/special/img_special_01.gif
38,password_secret,img_chara_01.png,PNG,196x185,1,1,0,0,password.reward.entry,https://tamagotchi-official.com/gb/series/connection/images/howto/special/img_chara_01.png
39,password_secret,img_icon_01.png,PNG,148x150,1,1,0,0,password.reward.entry,https://tamagotchi-official.com/gb/series/connection/images/howto/special/img_icon_01.png
40,password_secret,img_special_02.gif,GIF,213x200,2,2,3000,0,shop.secret-code.entry,https://tamagotchi-official.com/gb/series/connection/images/howto/special/img_special_02.gif
41,password_secret,img_chara_02.png,PNG,156x157,1,1,0,0,password.reward.entry,https://tamagotchi-official.com/gb/series/connection/images/howto/special/img_chara_02.png
42,password_secret,img_icon_02.png,PNG,98x132,1,1,0,0,password.reward.entry,https://tamagotchi-official.com/gb/series/connection/images/howto/special/img_icon_02.png
43,section_title,tit_connect.png,PNG,846x140,1,1,0,0,,https://tamagotchi-official.com/gb/series/connection/images/main/howto/tit_connect.png
44,connect,img_infrared.png,PNG,576x514,1,1,0,0,connection.transport/menu,https://tamagotchi-official.com/gb/series/connection/images/main/howto/connect/img_infrared.png
45,connect,img_connect_01.gif,GIF,79x106,2,2,1000,1,connection.visit,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_01.gif
46,connect,img_connect_02.gif,GIF,93x106,2,2,1000,1,connection.present,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_02.gif
47,connect,img_connect_03.gif,GIF,213x200,25,19,13500,0,connection.game,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_03.gif
48,connect,img_connect_04.gif,GIF,213x200,21,13,10500,0,connection.love,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_04.gif
49,connect,img_connect_05.gif,GIF,213x200,52,52,3200,0,connection.next_generation,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_05.gif
50,connect,img_connect_06.gif,GIF,213x200,63,35,33000,0,connection.result,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_06.gif
51,connect,img_connect_07.gif,GIF,213x200,10,9,5000,0,connection.friendship,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_connect_07.gif
52,connect,img_chara.png,PNG,334x208,1,1,0,0,connection.transport/menu,https://tamagotchi-official.com/gb/series/connection/images/howto/connect/img_chara.png
53,chrome,logo_portal.png,PNG,372x80,1,1,0,0,,https://tamagotchi-official.com/images/select/logo_portal.png
54,chrome,logo_paradise.png,PNG,470x209,1,1,0,0,,https://tamagotchi-official.com/images/select/logo_paradise.png
55,chrome,img_item_paradise.png,PNG,168x160,1,1,0,0,,https://tamagotchi-official.com/images/select/img_item_paradise.png
56,chrome,logo_original.png,PNG,287x61,1,1,0,0,,https://tamagotchi-official.com/images/select/logo_original.png
57,chrome,img_item_original.png,PNG,168x160,1,1,0,0,,https://tamagotchi-official.com/images/select/img_item_original.png
58,chrome,logo_connection.png,PNG,260x92,1,1,0,0,,https://tamagotchi-official.com/images/select/logo_connection.png
59,chrome,img_item_connection.png,PNG,168x160,1,1,0,0,,https://tamagotchi-official.com/images/select/img_item_connection.png
60,chrome,logo_uni.png,PNG,480x82,1,1,0,0,,https://tamagotchi-official.com/images/select/logo_uni.png
