index,label,stage,route,archetype,care_band,generation_mask,generation_tags,tier_mask,tier_tags,gender_mask,gender_tags,source_page,source_slot,page_id,frame_family,visual_traits,entry_source,art_status,review_flags,portrait_bitmap_symbol,portrait_dimensions_px,idle_bitmap_symbol,idle_dimensions_px
0,Kuroteletchi,baby,balanced,baby,0,7,first;odd;even,31,one;two;three;four;special,1,boy,1,1,201,0,164,character_row,official-derived,,kCharacterCatalogBitmaps[0],16;16,kCharacterIdleBitmaps[0],24;24
1,Shiroteletchi,baby,balanced,baby,0,7,first;odd;even,31,one;two;three;four;special,2,girl,1,2,202,0,168,character_row,official-derived,,kCharacterCatalogBitmaps[1],16;16,kCharacterIdleBitmaps[1],24;24
2,Tamatchi,child,balanced,sprout,0,7,first;odd;even,12,three;four,3,boy;girl,1,3,203,1,172,character_row,official-derived,,kCharacterCatalogBitmaps[2],16;16,kCharacterIdleBitmaps[2],24;24
3,Mizutamatchi,child,athlete,sprout,1,6,odd;even,3,one;two,3,boy;girl,1,4,204,1,177,character_row,official-derived,,kCharacterCatalogBitmaps[3],16;16,kCharacterIdleBitmaps[3],24;24
4,Kuchitamatchi,child,dreamer,sprout,2,6,odd;even,3,one;two,3,boy;girl,1,5,205,1,182,character_row,official-derived,,kCharacterCatalogBitmaps[4],16;16,kCharacterIdleBitmaps[4],24;24
5,Mohitamatchi,child,rascal,rascal,3,7,first;odd;even,12,three;four,3,boy;girl,1,6,206,6,187,character_row,official-derived,,kCharacterCatalogBitmaps[5],16;16,kCharacterIdleBitmaps[5],24;24
6,Obotchi,teen,balanced,buddy,0,2,odd,3,one;two,3,boy;girl,1,7,207,2,188,character_row,official-derived,,kCharacterCatalogBitmaps[6],16;16,kCharacterIdleBitmaps[6],24;24
7,Youngmametchi,teen,scholar,quill,1,2,odd,3,one;two,3,boy;girl,1,8,208,7,161,character_row,official-derived,,kCharacterCatalogBitmaps[7],16;16,kCharacterIdleBitmaps[7],24;24
8,Batabatchi,teen,athlete,bolt,1,2,odd,3,one;two,3,boy;girl,2,1,209,5,197,character_row,official-derived,,kCharacterCatalogBitmaps[8],16;16,kCharacterIdleBitmaps[8],24;24
9,Ichigotchi,teen,social,dream,1,2,odd,3,one;two,3,boy;girl,2,2,210,4,201,character_row,official-derived,,kCharacterCatalogBitmaps[9],16;16,kCharacterIdleBitmaps[9],24;24
