sprite,label,frame,width,height,part_count,bbox,out_of_nominal_bounds,part_assets
kEgg0,EGG0,kFrameEgg0Composed,32,32,4,"4,2,27,27",no,B_EGG_BODY B_EGG_EYE B_EGG_EYE B_EGG_MOUTH_SMILE
kEgg1,EGG1,kFrameEgg1Composed,32,32,5,"4,2,27,27",no,B_EGG_BODY B_EGG_EYE B_EGG_EYE B_EGG_MOUTH_SAD B_EGG_CRACK
kEggCrack0,EGG CR0,kFrameEggCrack0Composed,32,32,6,"4,2,28,27",no,B_EGG_BODY B_EGG_EYE B_EGG_EYE B_EGG_MOUTH_SAD B_EGG_CRACK B_SPARKLE
kEggCrack1,EGG CR1,kFrameEggCrack1Composed,32,32,8,"2,2,29,29",no,B_EGG_BODY B_EGG_EYE B_EGG_EYE B_EGG_MOUTH_OPEN B_EGG_CRACK B_EGG_CRACK B_SPARKLE B_SPARKLE
kEggHatch,EGG HATCH,kFrameEggHatchComposed,32,32,9,"2,2,30,29",no,B_EGG_BODY B_EGG_CRACK B_EGG_CRACK B_EGG_EYE B_EGG_EYE B_EGG_MOUTH_OPEN B_SPARKLE B_SPARKLE B_SPARKLE
kBaby0,BABY0,kFrameBaby0Composed,24,28,6,"2,0,21,24",no,B_BABY_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kBaby1,BABY1,kFrameBaby1Composed,24,28,7,"2,0,23,25",no,B_BABY_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_HEART
kChild0,CHILD0,kFrameStand0,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kChild1,CHILD1,kFrameStand1,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kTeen0,TEEN0,kFrameStand0,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kTeen1,TEEN1,kFrameStand1,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kAdult0,ADULT0,kFrameStand0,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kAdult1,ADULT1,kFrameStand1,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kElder0,ELDER0,kFrameStand0,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kElder1,ELDER1,kFrameStand1,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT
kSleep,SLEEP,kFrameSleepComposed,32,32,5,"0,2,30,30",no,B_MAME_BODY B_EYE_SLEEP B_EYE_SLEEP B_MOUTH_SMILE B_Z_MARK
kSick,SICK,kFrameSickComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_SICK B_EYE_SICK B_MOUTH_SAD B_SWEAT B_FOOT B_FOOT
kJoy,JOY,kFrameHappy,32,32,7,"0,1,30,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_OPEN B_FOOT B_FOOT B_HEART
kSad,SAD,kFrameSadComposed,32,32,6,"0,1,29,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_SAD B_FOOT B_FOOT
kFriend,FRIEND,kFrameFriendComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_HEART B_HEART
kAthlete,ATHLETE,kFrameAthleteComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BALL
kScholar,SCHOLAR,kFrameScholarComposed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BOOK
kDream,DREAM,kFrameDreamComposed,32,32,8,"0,1,30,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_SMILE B_FOOT B_FOOT B_BOW B_SPARKLE
kRascal,RASCAL,kFrameRascalComposed,32,32,8,"0,1,29,31",no,B_MAME_BODY B_EYE_SAD B_EYE_SAD B_MOUTH_OPEN B_SPIKE B_SPIKE B_FOOT B_FOOT
kEatMeal0,MEAL0,kFrameEatMeal0Composed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_SPOON
kEatMeal1,MEAL1,kFrameEatMeal1Composed,32,32,7,"0,1,29,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_SPOON
kEatSnack0,SNACK0,kFrameEatSnack0Composed,32,32,8,"0,1,31,31",no,B_MAME_BODY B_EYE_OPEN B_EYE_OPEN B_MOUTH_OPEN B_FOOT B_FOOT B_HEART B_BALL
kEatSnack1,SNACK1,kFrameEatSnack1Composed,32,32,7,"0,1,31,31",no,B_MAME_BODY B_EYE_BLINK B_EYE_BLINK B_MOUTH_SMILE B_FOOT B_FOOT B_HEART
